Latest_viable_stage,,prezygotic_RI,,postzygotic_RI,,F1_RI,
species_pair,div_time_mgens,species_pair,div_time_mgens,species_pair,div_time_mgens,species_pair,div_time_mgens
latens-remanei,49.63,latens-remanei,49.63,latens-remanei,49.63,latens-remanei,49.63
briggsae-nigoni,57.05,briggsae-nigoni,57.05,briggsae-nigoni,57.05,briggsae-nigoni,57.05
drosophilae-sp2,84.4,angaria-castelli,95.85,angaria-castelli,95.85,drosophilae-sp2,84.4
angaria-castelli,95.85,becei-nouraguensis,97.7,becei-nouraguensis,97.7,angaria-castelli,95.85
becei-nouraguensis,97.7,dolens-quiockensis,105.55,dolens-quiockensis,105.55,becei-nouraguensis,97.7
kamaaina-oiwi,99.81,tribulationis-zanzibari,174.29,tribulationis-zanzibari,174.29,kamaaina-oiwi,99.81
dolens-quiockensis,105.55,afra-sulstoni,204.62,afra-sulstoni,204.62,dolens-quiockensis,105.55
tribulationis-zanzibari,174.29,tropicalis-wallacei,221.28,tropicalis-wallacei,221.28,tribulationis-zanzibari,174.29
afra-sulstoni,204.62,panamensis-waitukubuli,230.05,panamensis-waitukubuli,230.05,afra-sulstoni,204.62
tropicalis-wallacei,221.28,brenneri-doughertyi,368.52,brenneri-doughertyi,368.52,tropicalis-wallacei,221.28
panamensis-waitukubuli,230.05,macrosperma-yunquensis,386.85,macrosperma-yunquensis,386.85,panamensis-waitukubuli,230.05
brenneri-doughertyi,368.52,elegans-inopinata,427.58,elegans-imperialis,713.02,brenneri-doughertyi,368.52
macrosperma-yunquensis,386.85,astrocarya-guadeloupensis,1094.71,,,macrosperma-yunquensis,386.85
elegans-inopinata,427.58,,,,,elegans-inopinata,427.58
japonica-sinica,713.02,,,,,japonica-sinica,713.02
astrocarya-guadeloupensis,1094.71,,,,,astrocarya-guadeloupensis,1094.71
